Hello	UH	hello
folks	NNS	folk
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
start	VB	start
with	IN	with
a	DT	a
song	NN	song
and	CC	and
the	DT	the
lyrics	NNS	lyric
of	IN	of
the	DT	the
song	NN	song
are	VBP	be
:	:	:
"	``	"
Walk	NN	walk
light	NN	light
,	,	,
ladies	NNS	lady
,	,	,
the	DT	the
cake	NN	cake
'	POS	'
s	NNS	<unknown>
all	DT	all
dough	NN	dough
.	SENT	.
You	PP	you
need	VBP	need
not	RB	not
mind	VB	mind
the	DT	the
weather	NN	weather
if	IN	if
the	DT	the
wind	NN	wind
don	NN	don
'	POS	'
t	NN	t
blow	NN	blow
.	SENT	.
"	''	"
So	RB	so
if	IN	if
you	PP	you
can	MD	can
repeat	VB	repeat
after	IN	after
me	PP	me
,	,	,
"	''	"
Walk	VBP	walk
light	JJ	light
ladies	NNS	lady
,	,	,
the	DT	the
cake	NN	cake
'	POS	'
s	NNS	<unknown>
all	DT	all
dough	NN	dough
.	SENT	.
"	''	"
Audience	NN	audience
:	:	:
"	``	"
Walk	NN	walk
light	NN	light
,	,	,
ladies	NNS	lady
,	,	,
the	DT	the
cake	NN	cake
'	POS	'
s	NNS	<unknown>
all	DT	all
dough	NN	dough
.	SENT	.
"	''	"
CGJ	NP	CGJ
:	:	:
"	``	"
You	PP	you
needn	NP	<unknown>
'	POS	'
t	NN	t
mind	NN	mind
the	DT	the
weather	NN	weather
if	IN	if
the	DT	the
wind	NN	wind
don	NN	don
'	POS	'
t	NN	t
blow	NN	blow
.	SENT	.
"	''	"
Audience	NN	audience
:	:	:
"	``	"
You	PP	you
needn	NP	<unknown>
'	POS	'
t	NN	t
mind	NN	mind
the	DT	the
weather	NN	weather
if	IN	if
the	DT	the
wind	NN	wind
don	NN	don
'	POS	'
t	NN	t
blow	NN	blow
.	SENT	.
"	''	"
CGJ	NP	CGJ
:	:	:
Ok	NP	Ok
,	,	,
so	RB	so
you	PP	you
got	VBD	get
it	PP	it
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
sing	VBP	sing
.	SENT	.
"	``	"
Walk	NN	walk
light	NN	light
,	,	,
ladies	NNS	lady
,	,	,
the	DT	the
cake	NN	cake
'	POS	'
s	NNS	<unknown>
all	DT	all
dough	NN	dough
,	,	,
you	PP	you
needn	NNS	<unknown>
'	POS	'
t	NN	t
mind	NN	mind
the	DT	the
weather	NN	weather
if	IN	if
the	DT	the
wind	NN	wind
don	NN	don
'	POS	'
t	NN	t
blow	NN	blow
.	SENT	.
Walk	NN	walk
light	NN	light
,	,	,
ladies	NNS	lady
,	,	,
the	DT	the
cake	NN	cake
'	POS	'
s	NNS	<unknown>
all	DT	all
dough	NN	dough
,	,	,
you	PP	you
needn	NNS	<unknown>
'	POS	'
t	NN	t
mind	NN	mind
the	DT	the
weather	NN	weather
if	IN	if
the	DT	the
wind	NN	wind
don	NN	don
'	POS	'
t	NN	t
blow	NN	blow
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
Walk	NN	walk
light	NN	light
,	,	,
ladies	NNS	lady
,	,	,
the	DT	the
cake	NN	cake
'	POS	'
s	NNS	<unknown>
all	DT	all
dough	NN	dough
,	,	,
you	PP	you
needn	NNS	<unknown>
'	POS	'
t	NN	t
mind	NN	mind
the	DT	the
weather	NN	weather
if	IN	if
the	DT	the
wind	NN	wind
don	NN	don
'	POS	'
t	NN	t
blow	NN	blow
.	SENT	.
"	''	"
Hardly	RB	hardly
anyone	NN	anyone
knows	VBZ	know
that	DT	that
song	NN	song
anymore	RB	anymore
,	,	,
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
popular	JJ	popular
one	CD	one
during	IN	during
the	DT	the
slavery	NN	slavery
era	NN	era
.	SENT	.
Black	NP	Black
Americans	NPS	Americans
sang	VBD	sing
it	PP	it
on	IN	on
holidays	NNS	holiday
and	CC	and
during	IN	during
a	DT	a
dance	NN	dance
contest	NN	contest
called	VBD	call
a	DT	a
cakewalk	NN	cakewalk
.	SENT	.
But	CC	but
what	WP	what
you	PP	you
may	MD	may
not	RB	not
know	VB	know
is	VBZ	be
that	IN	that
drag	NN	drag
queens	NNS	queen
probably	RB	probably
sang	VBD	sing
it	PP	it
at	IN	at
some	DT	some
of	IN	of
the	DT	the
earliest	RBS	earliest
queer	JJ	queer
balls	NNS	ball
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
And	CC	and
you	PP	you
also	RB	also
may	MD	may
not	RB	not
know	VB	know
that	DT	that
drag	NN	drag
culture	NN	culture
shares	NNS	share
a	DT	a
history	NN	history
with	IN	with
African-American	NP	African-American
emancipation	NN	emancipation
.	SENT	.
The	DT	the
reason	NN	reason
you	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
is	VBZ	be
that	IN	that
Black	JJ	Black
queer	JJ	queer
communities	NNS	community
have	VBP	have
largely	RB	largely
been	VBN	be
erased	VBN	erase
from	IN	from
history	NN	history
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
in	IN	in
part	NN	part
due	JJ	due
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
so	RB	so
much	RB	much
historical	JJ	historical
research	NN	research
begins	VBZ	begin
with	IN	with
genealogy	NN	genealogy
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
genealogy	NN	genealogy
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
basically	RB	basically
a	DT	a
record	NN	record
of	IN	of
heterosexual	JJ	heterosexual
behavior	NN	behavior
:	:	:
mother	NN	mother
,	,	,
father	NN	father
,	,	,
child	NN	child
;	:	;
birth	NN	birth
,	,	,
marriage	NN	marriage
,	,	,
inheritance	NN	inheritance
.	SENT	.
But	CC	but
another	DT	another
reason	NN	reason
is	VBZ	be
that	IN	that
historians	NNS	historian
of	IN	of
all	DT	all
colors	NNS	color
have	VBP	have
looked	VBN	look
down	RP	down
on	IN	on
Black	JJ	Black
queer	JJ	queer
folks	NNS	folk
like	IN	like
me	PP	me
as	RB	as
immoral	JJ	immoral
,	,	,
deviant	JJ	deviant
,	,	,
distasteful	JJ	distasteful
,	,	,
diseased	JJ	diseased
,	,	,
even	RB	even
