When	WRB	when
I	PP	I
was	VBD	be
six	CD	six
,	,	,
my	PP$	my
father	NN	father
told	VBD	tell
me	PP	me
that	IN	that
I	PP	I
was	VBD	be
made	VBN	make
out	RP	out
of	IN	of
tiny	JJ	tiny
cells	NNS	cell
filled	VBN	fill
with	IN	with
chromosomes	NNS	chromosome
that	WDT	that
would	MD	would
control	VB	control
my	PP$	my
fate	NN	fate
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
amazing	JJ	amazing
.	SENT	.
There	EX	there
are	VBP	be
so	RB	so
many	JJ	many
mysterious	JJ	mysterious
things	NNS	thing
in	IN	in
there	RB	there
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
more	RBR	more
.	SENT	.
"	``	"
I	PP	I
read	VBP	read
about	IN	about
Galileo	NP	Galileo
and	CC	and
Darwin	NP	Darwin
,	,	,
and	CC	and
I	PP	I
became	VBD	become
a	DT	a
scientist	NN	scientist
.	SENT	.
At	IN	at
that	DT	that
time	NN	time
,	,	,
hardly	RB	hardly
anything	NN	anything
was	VBD	be
known	VBN	know
.	SENT	.
We	PP	we
did	VBD	do
not	RB	not
yet	RB	yet
know	VB	know
that	IN	that
the	DT	the
chemical	NN	chemical
elements	NNS	element
came	VBD	come
from	IN	from
exploded	VBN	explode
stars	NNS	star
,	,	,
that	DT	that
everything	NN	everything
you	PP	you
see	VBP	see
around	IN	around
you	PP	you
was	VBD	be
recycled	VBN	recycle
from	IN	from
inside	NN	inside
of	IN	of
stars	NNS	star
.	SENT	.
So	RB	so
we	PP	we
did	VBD	do
not	RB	not
know	VB	know
we	PP	we
are	VBP	be
recycled	JJ	recycled
stars	NNS	star
.	SENT	.
But	CC	but
we	PP	we
set	VBD	set
off	RP	off
to	TO	to
measure	VB	measure
the	DT	the
Big	NP	Big
Bang	NP	Bang
,	,	,
and	CC	and
we	PP	we
measured	VBD	measure
the	DT	the
map	NN	map
of	IN	of
the	DT	the
cosmic	JJ	cosmic
microwave	NN	microwave
background	NN	background
radiation	NN	radiation
,	,	,
using	VBG	use
millimeter	NN	millimeter
waves	NNS	wave
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
entire	JJ	entire
sky	NN	sky
wrapped	VBD	wrap
around	RP	around
on	IN	on
to	TO	to
an	DT	an
oval	NN	oval
so	IN	so
you	PP	you
can	MD	can
see	VB	see
it	PP	it
.	SENT	.
We	PP	we
see	VBP	see
that	IN	that
there	EX	there
are	VBP	be
hot	JJ	hot
and	CC	and
cold	JJ	cold
spots	NNS	spot
in	IN	in
this	DT	this
Big	NP	Big
Bang	NP	Bang
material	NN	material
.	SENT	.
Now	RB	now
we	PP	we
say	VBP	say
,	,	,
well	RB	well
,	,	,
that	IN	that
'	POS	'
s	NN	S
because	IN	because
those	DT	those
were	VBD	be
there	RB	there
