Hi	UH	hi
,	,	,
I	PP	I
'	POS	'
m	NN	m
Elena	NP	Elena
Crescia	NP	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
curator	NN	curator
and	CC	and
organizer	NN	organizer
of	IN	of
TEDxSãoPaulo	NP	TEDxSãoPaulo
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
based	VBN	base
in	IN	in
São	NP	São
Paulo	NP	Paulo
,	,	,
Brazil	NP	Brazil
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
with	IN	with
Cristina	NP	Cristina
Junqueira	NP	<unknown>
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
the	DT	the
cofounder	NN	cofounder
of	IN	of
a	DT	a
tech	NN	tech
company	NN	company
that	WDT	that
provides	VBZ	provide
financial	JJ	financial
services	NNS	service
.	SENT	.
Together	RB	together
with	IN	with
her	PP$	her
cofounders	NNS	cofounder
,	,	,
David	NP	David
Vélez	NP	<unknown>
and	CC	and
Edward	NP	Edward
Wible	NP	Wible
,	,	,
they	PP	they
created	VBD	create
a	DT	a
digital	JJ	digital
platform	NN	platform
to	TO	to
provide	VB	provide
more	JJR	more
access	NN	access
to	TO	to
financial	JJ	financial
services	NNS	service
,	,	,
to	TO	to
individuals	NNS	individual
and	CC	and
then	RB	then
,	,	,
of	IN	of
course	NN	course
,	,	,
having	VBG	have
impact	NN	impact
in	IN	in
their	PP$	their
communities	NNS	community
.	SENT	.
Welcome	NN	welcome
,	,	,
Cristina	NP	Cristina
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
to	TO	to
have	VB	have
a	DT	a
conversation	NN	conversation
with	IN	with
us	PP	us
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
.	SENT	.
Can	MD	can
you	PP	you
tell	VB	tell
us	PP	us
what	WP	what
was	VBD	be
the	DT	the
banking	NN	banking
industry	NN	industry
like	IN	like
when	WRB	when
you	PP	you
started	VBD	start
,	,	,
and	CC	and
what	WP	what
made	VBD	make
you	PP	you
have	VBP	have
the	DT	the
courage	NN	courage
to	TO	to
start	VB	start
something	NN	something
as	IN	as
ambitious	JJ	ambitious
as	IN	as
a	DT	a
new	JJ	new
bank	NN	bank
?	SENT	?
Cristina	NP	Cristina
Junqueira	NP	<unknown>
:	:	:
Of	IN	of
course	NN	course
,	,	,
David	NP	David
has	VBZ	have
a	DT	a
great	JJ	great
story	NN	story
that	IN	that
he	PP	he
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
people	NNS	people
about	RB	about
before	IN	before
starting	VBG	start
Nubank	NP	<unknown>
that	IN	that
he	PP	he
went	VBD	go
to	TO	to
one	CD	one
of	IN	of
those	DT	those
,	,	,
you	PP	you
know	VBP	know
,	,	,
big	JJ	big
branches	NNS	branch
in	IN	in
one	CD	one
of	IN	of
the	DT	the
financial	JJ	financial
centers	NNS	center
here	RB	here
in	IN	in
São	NP	São
Paulo	NP	Paulo
.	SENT	.
And	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
he	PP	he
had	VBD	have
to	TO	to
go	VB	go
through	IN	through
bulletproof	JJ	bulletproof
revolving	JJ	revolving
doors	NNS	door
and	CC	and
stripe	NN	stripe
,	,	,
like	IN	like
all	PDT	all
the	DT	the
other	JJ	other
things	NNS	thing
that	IN	that
he	PP	he
carried	VBD	carry
with	IN	with
him	PP	him
and	CC	and
put	VB	put
all	PDT	all
his	PP$	his
possessions	NNS	possession
in	IN	in
a	DT	a
locker	NN	locker
,	,	,
and	CC	and
there	EX	there
were	VBD	be
like	JJ	like
,	,	,
armed	JJ	armed
guards	NNS	guard
,	,	,
so	RB	so
it	PP	it
felt	VBD	feel
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
going	VBG	go
to	TO	to
prison	NN	prison
,	,	,
you	PP	you
know	VBP	know
,	,	,
and	CC	and
that	IN	that
you	PP	you
were	VBD	be
being	VBG	be
treated	VBN	treat
like	IN	like
a	DT	a
criminal	NN	criminal
.	SENT	.
And	CC	and
then	RB	then
after	IN	after
he	PP	he
got	VBD	get
into	IN	into
the	DT	the
branch	NN	branch
,	,	,
of	IN	of
course	NN	course
,	,	,
he	PP	he
waited	VBD	wait
for	IN	for
hours	NNS	hour
until	IN	until
he	PP	he
got	VBD	get
somebody	NN	somebody
'	POS	'
s	NN	S
attention	NN	attention
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
like	VB	like
,	,	,
he	PP	he
didn	NNS	<unknown>
'	POS	'
t	NN	t
get	VBP	get
to	TO	to
open	VB	open
an	DT	an
account	NN	account
that	IN	that
day	NN	day
,	,	,
it	PP	it
took	VBD	take
days	NNS	day
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
paperwork	NN	paperwork
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
bureaucracy	NN	bureaucracy
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
just	RB	just
a	DT	a
very	JJ	very
,	,	,
very	RB	very
bad	JJ	bad
customer	NN	customer
experience	NN	experience
for	IN	for
sure	JJ	sure
.	SENT	.
Like	JJ	like
,	,	,
