Hey	UH	hey
,	,	,
work	NN	work
lifers	NNS	lifer
,	,	,
this	DT	this
is	VBZ	be
J	NP	J
.	SENT	.
J	NP	J
.	SENT	.
Abrams	NP	Abrams
,	,	,
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
something	NN	something
new	JJ	new
on	IN	on
the	DT	the
podcast	JJ	<unknown>
today	NN	today
,	,	,
I	PP	I
am	VBP	be
going	VBG	go
to	TO	to
be	VB	be
conducting	VBG	conduct
an	DT	an
interview	NN	interview
on	IN	on
the	DT	the
show	NN	show
and	CC	and
my	PP$	my
guest	NN	guest
is	VBZ	be
Adam	NP	Adam
Grant	NP	Grant
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	NN	going
be	VB	be
talking	VBG	talk
about	IN	about
his	PP$	his
new	JJ	new
book	NN	book
,	,	,
Think	VBP	think
Again	RB	again
Automatical	JJ	<unknown>
.	SENT	.
Oh	UH	oh
,	,	,
JJ	NN	JJ
,	,	,
it	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
hear	VB	hear
your	PP$	your
voice	NN	voice
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
my	PP$	my
show	NN	show
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
it	PP	it
is	VBZ	be
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
just	RB	just
let	VB	let
you	PP	you
take	VB	take
my	PP$	my
job	NN	job
and	CC	and
ask	VB	ask
all	PDT	all
the	DT	the
questions	NNS	question
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
insisting	VBG	insist
on	IN	on
asking	VBG	ask
you	PP	you
some	DT	some
questions	NNS	question
.	SENT	.
Can	MD	can
you	PP	you
promise	VB	promise
me	PP	me
that	IN	that
I	PP	I
can	MD	can
ask	VB	ask
one	CD	one
Star	NP	Star
Wars	NPS	Wars
question	NN	question
?	SENT	?
Yes	UH	yes
,	,	,
you	PP	you
can	MD	can
ask	VB	ask
anything	NN	anything
you	PP	you
want	VBP	want
.	SENT	.
You	PP	you
can	MD	can
ask	VB	ask
.	SENT	.
Fantastic	JJ	fantastic
.	SENT	.
Jumping	VBG	jump
in	IN	in
here	RB	here
as	IN	as
host	NN	host
of	IN	of
my	PP$	my
show	NN	show
in	IN	in
the	DT	the
off	JJ	off
chance	NN	chance
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
who	WP	who
J	NP	J
.	SENT	.
J	NP	J
.	SENT	.
Abrams	NP	Abrams
is	VBZ	be
.	SENT	.
You	PP	you
absolutely	RB	absolutely
know	VBP	know
his	PP$	his
work	NN	work
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
directed	VBD	direct
,	,	,
produced	VBN	produce
and	CC	and
written	VBN	write
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
beloved	JJ	beloved
films	NNS	film
and	CC	and
shows	NNS	show
of	IN	of
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
.	SENT	.
If	IN	if
you	PP	you
love	VBP	love
Lost	JJ	lost
alias	NN	alias
Felicity	NP	Felicity
,	,	,
the	DT	the
more	RBR	more
recent	JJ	recent
incarnations	NNS	incarnation
of	IN	of
Star	NP	Star
Wars	NPS	Wars
or	CC	or
Star	NP	Star
Trek	NP	Trek
,	,	,
you	PP	you
have	VBP	have
to	TO	to
think	VB	think
as	IN	as
a	DT	a
bonus	NN	bonus
episode	NN	episode
.	SENT	.
While	IN	while
we	PP	we
'	POS	'
re	NN	re
hard	RB	hard
at	IN	at
work	NN	work
on	IN	on
Season	NP	Season
four	CD	four
,	,	,
J	NP	J
.	SENT	.
J	NP	J
.	SENT	.
