When	WRB	when
I	PP	I
was	VBD	be
nine	CD	nine
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
went	VBD	go
off	RP	off
to	TO	to
summer	NN	summer
camp	NN	camp
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
And	CC	and
my	PP$	my
mother	NN	mother
packed	VBD	pack
me	PP	me
a	DT	a
suitcase	NN	suitcase
full	JJ	full
of	IN	of
books	NNS	book
,	,	,
which	WDT	which
to	TO	to
me	PP	me
seemed	VBD	seem
like	IN	like
a	DT	a
perfectly	RB	perfectly
natural	JJ	natural
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
Because	IN	because
in	IN	in
my	PP$	my
family	NN	family
,	,	,
reading	NN	reading
was	VBD	be
the	DT	the
primary	JJ	primary
group	NN	group
activity	NN	activity
.	SENT	.
And	CC	and
this	DT	this
might	MD	might
sound	VB	sound
antisocial	JJ	antisocial
to	TO	to
you	PP	you
,	,	,
but	CC	but
for	IN	for
us	PP	us
it	PP	it
was	VBD	be
really	RB	really
just	RB	just
a	DT	a
different	JJ	different
way	NN	way
of	IN	of
being	VBG	be
social	JJ	social
.	SENT	.
You	PP	you
have	VBP	have
the	DT	the
animal	JJ	animal
warmth	NN	warmth
of	IN	of
your	PP$	your
family	NN	family
sitting	VBG	sit
right	RB	right
next	JJ	next
to	TO	to
you	PP	you
,	,	,
but	CC	but
you	PP	you
are	VBP	be
also	RB	also
free	JJ	free
to	TO	to
go	VB	go
roaming	VBG	roam
around	RP	around
the	DT	the
adventureland	NN	adventureland
inside	IN	inside
your	PP$	your
own	JJ	own
mind	NN	mind
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
this	DT	this
idea	NN	idea
that	IN	that
camp	NN	camp
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
just	RB	just
like	IN	like
this	DT	this
,	,	,
but	CC	but
better	JJR	good
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
vision	NN	vision
of	IN	of
10	CD	@card@
girls	NNS	girl
sitting	VBG	sit
in	IN	in
a	DT	a
cabin	NN	cabin
cozily	RB	cozily
reading	VBG	read
books	NNS	book
in	IN	in
their	PP$	their
matching	VBG	match
nightgowns	NNS	nightgown
.	SENT	.
Camp	NN	camp
was	VBD	be
more	JJR	more
like	IN	like
a	DT	a
keg	NN	keg
party	NN	party
without	IN	without
any	DT	any
alcohol	NN	alcohol
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
very	RB	very
first	JJ	first
day	NN	day
,	,	,
our	PP$	our
counselor	NN	counselor
gathered	VBD	gather
us	PP	us
all	RB	all
together	RB	together
and	CC	and
she	PP	she
taught	VBD	teach
us	PP	us
a	DT	a
cheer	NN	cheer
that	IN	that
she	PP	she
said	VBD	say
we	PP	we
would	MD	would
be	VB	be
doing	VBG	do
every	DT	every
day	NN	day
for	IN	for
the	DT	the
rest	NN	rest
