Just	RB	just
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
,	,	,
I	PP	I
took	VBD	take
this	DT	this
picture	NN	picture
about	IN	about
10	CD	@card@
blocks	NNS	block
from	IN	from
here	RB	here
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Grand	NP	Grand
Cafe	NN	cafe
here	RB	here
in	IN	in
Oxford	NP	Oxford
.	SENT	.
I	PP	I
took	VBD	take
this	DT	this
picture	NN	picture
because	IN	because
this	DT	this
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
coffeehouse	NN	coffeehouse
to	TO	to
open	VB	open
in	IN	in
England	NP	England
in	IN	in
1650	CD	@card@
.	SENT	.
That	WDT	that
'	''	'
s	VBG	<unknown>
its	PP$	its
great	JJ	great
claim	NN	claim
to	TO	to
fame	NN	fame
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
show	VB	show
it	PP	it
to	TO	to
you	PP	you
,	,	,
not	RB	not
because	IN	because
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
the	DT	the
kind	NN	kind
of	IN	of
Starbucks	NP	Starbucks
tour	NN	tour
of	IN	of
historic	JJ	historic
England	NP	England
,	,	,
but	CC	but
rather	RB	rather
because	IN	because
the	DT	the
English	JJ	English
coffeehouse	NN	coffeehouse
was	VBD	be
crucial	JJ	crucial
to	TO	to
the	DT	the
development	NN	development
and	CC	and
spread	NN	spread
of	IN	of
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
intellectual	JJ	intellectual
flowerings	NNS	flowering
of	IN	of
the	DT	the
last	JJ	last
500	CD	@card@
years	NNS	year
,	,	,
what	WP	what
we	PP	we
now	RB	now
call	VBP	call
the	DT	the
Enlightenment	NN	enlightenment
.	SENT	.
And	CC	and
the	DT	the
coffeehouse	NN	coffeehouse
played	VBD	play
such	PDT	such
a	DT	a
big	JJ	big
role	NN	role
in	IN	in
the	DT	the
birth	NN	birth
of	IN	of
the	DT	the
Enlightenment	NN	enlightenment
,	,	,
in	IN	in
part	NN	part
,	,	,
because	IN	because
of	IN	of
what	WP	what
people	NNS	people
were	VBD	be
drinking	VBG	drink
there	RB	there
.	SENT	.
Because	RB	because
,	,	,
before	IN	before
the	DT	the
spread	NN	spread
of	IN	of
coffee	NN	coffee
and	CC	and
tea	NN	tea
through	IN	through
British	JJ	British
culture	NN	culture
,	,	,
what	WDT	what
people	NNS	people
drank	VBD	drink
—	:	-
both	DT	both
elite	NN	elite
and	CC	and
mass	NN	mass
folks	NNS	folk
drank	VBD	drink
—	:	-
day-in	NN	<unknown>
and	CC	and
day-out	NN	<unknown>
,	,	,
from	IN	from
dawn	NN	dawn
until	IN	until
dusk	NN	dusk
was	VBD	be
alcohol	NN	alcohol
.	SENT	.
Alcohol	NN	alcohol
was	VBD	be
the	DT	the
daytime	JJ	daytime
beverage	NN	beverage
of	IN	of
choice	NN	choice
.	SENT	.
You	PP	you
would	MD	would
drink	VB	drink
a	DT	a
little	JJ	little
beer	NN	beer
with	IN	with
breakfast	NN	breakfast
and	CC	and
have	VB	have
a	DT	a
little	JJ	little
wine	NN	wine
at	IN	at
lunch	NN	lunch
,	,	,
a	DT	a
little	JJ	little
gin	NN	gin
—	:	-
particularly	RB	particularly
around	IN	around
1650	CD	@card@
—	:	-
and	CC	and
top	VB	top
it	PP	it
off	RP	off
with	IN	with
a	DT	a
little	JJ	little
beer	NN	beer
and	CC	and
wine	NN	wine
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
healthy	JJ	healthy
choice	NN	choice
—	:	-
right	NN	right
—	:	-
because	IN	because
the	DT	the
water	NN	water
wasn	NN	<unknown>
'	POS	'
t	NN	t
safe	JJ	safe
to	TO	to
drink	VB	drink
.	SENT	.
And	CC	and
so	RB	so
,	,	,
effectively	RB	effectively
until	IN	until
the	DT	the
rise	NN	rise
of	IN	of
the	DT	the
coffeehouse	NN	coffeehouse
,	,	,
you	PP	you
had	VBD	have
an	DT	an
entire	JJ	entire
population	NN	population
that	WDT	that
was	VBD	be
effectively	RB	effectively
drunk	VBN	drink
all	DT	all
day	NN	day
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
imagine	VB	imagine
what	WP	what
that	DT	that
would	MD	would
be	VB	be
like	JJ	like
,	,	,
right	RB	right
,	,	,
in	IN	in
your	PP$	your
own	JJ	own
life	NN	life
—	:	-
and	CC	and
I	PP	I
know	VBP	know
this	DT	this
is	VBZ	be
true	JJ	true
of	IN	of
some	DT	some
of	IN	of
you	PP	you
—	:	-
if	IN	if
you	PP	you
were	VBD	be
drinking	VBG	drink
all	DT	all
day	NN	day
,	,	,
and	CC	and
then	RB	then
you	PP	you
switched	VBD	switch
from	IN	from
a	DT	a
depressant	NN	depressant
to	TO	to
a	DT	a
stimulant	NN	stimulant
in	IN	in
your	PP$	your
life	NN	life
,	,	,
you	PP	you
would	MD	would
have	VB	have
better	JJR	good
ideas	NNS	idea
.	SENT	.
You	PP	you
would	MD	would
be	VB	be
sharper	JJR	sharp
and	CC	and
more	RBR	more
alert	JJ	alert
.	SENT	.
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
accident	NN	accident
that	IN	that
a	DT	a
great	JJ	great
flowering	VBG	flower
of	IN	of
innovation	NN	innovation
happened	VBN	happen
as	IN	as
England	NP	England
switched	VBD	switch
to	TO	to
tea	NN	tea
and	CC	and
coffee	NN	coffee
.	SENT	.
But	CC	but
the	DT	the
other	JJ	other
thing	NN	thing
that	WDT	that
makes	VBZ	make
the	DT	the
coffeehouse	NN	coffeehouse
important	JJ	important
is	VBZ	be
the	DT	the
architecture	NN	architecture
of	IN	of
the	DT	the
space	NN	space
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
space	NN	space
where	WRB	where
people	NNS	people
would	MD	would
get	VB	get
together	RB	together
from	IN	from
