OK	UH	OK
,	,	,
so	IN	so
today	NN	today
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
how	WRB	how
we	PP	we
talk	VBP	talk
about	RB	about
love	VB	love
.	SENT	.
And	CC	and
specifically	RB	specifically
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
with	IN	with
how	WRB	how
we	PP	we
talk	VBP	talk
about	RB	about
love	VB	love
.	SENT	.
Most	JJS	most
of	IN	of
us	PP	us
will	MD	will
probably	RB	probably
fall	VB	fall
in	IN	in
love	NN	love
a	DT	a
few	JJ	few
times	NNS	time
over	IN	over
the	DT	the
course	NN	course
of	IN	of
our	PP$	our
lives	NNS	life
,	,	,
and	CC	and
in	IN	in
the	DT	the
English	JJ	English
language	NN	language
,	,	,
this	DT	this
metaphor	NN	metaphor
,	,	,
falling	VBG	fall
,	,	,
is	VBZ	be
really	RB	really
the	DT	the
main	JJ	main
way	NN	way
that	IN	that
we	PP	we
talk	VBP	talk
about	IN	about
that	DT	that
experience	NN	experience
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
you	PP	you
,	,	,
but	CC	but
when	WRB	when
I	PP	I
conceptualize	VBP	conceptualize
this	DT	this
metaphor	NN	metaphor
,	,	,
what	WP	what
I	PP	I
picture	VBP	picture
is	VBZ	be
straight	RB	straight
out	RB	out
of	IN	of
a	DT	a
cartoon	NN	cartoon
—	:	-
like	IN	like
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
man	NN	man
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
walking	VBG	walk
down	RP	down
the	DT	the
sidewalk	NN	sidewalk
,	,	,
without	IN	without
realizing	VBG	realize
it	PP	it
,	,	,
he	PP	he
crosses	VBZ	cross
over	IN	over
an	DT	an
open	JJ	open
manhole	NN	manhole
,	,	,
and	CC	and
he	PP	he
just	RB	just
plummets	VBZ	plummet
into	IN	into
the	DT	the
sewer	NN	sewer
below	RB	below
.	SENT	.
And	CC	and
I	PP	I
picture	VBP	picture
it	PP	it
this	DT	this
way	NN	way
because	IN	because
falling	NN	falling
is	VBZ	be
not	RB	not
jumping	VBG	jump
.	SENT	.
Falling	VBG	fall
is	VBZ	be
accidental	JJ	accidental
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
uncontrollable	JJ	uncontrollable
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
happens	VBZ	happen
to	TO	to
us	PP	us
without	IN	without
our	PP$	our
consent	NN	consent
.	SENT	.
And	CC	and
this	DT	this
—	:	-
this	DT	this
is	VBZ	be
the	DT	the
main	JJ	main
way	NN	way
we	PP	we
talk	VBP	talk
about	RB	about
starting	VBG	start
a	DT	a
new	JJ	new
relationship	NN	relationship
.	SENT	.
I	PP	I
am	VBP	be
a	DT	a
writer	NN	writer
and	CC	and
I	PP	I
'	POS	'
m	NN	m
also	RB	also
an	DT	an
English	JJ	English
teacher	NN	teacher
,	,	,
which	WDT	which
means	VBZ	mean
I	PP	I
think	VBP	think
about	IN	about
words	NNS	word
for	IN	for
a	DT	a
living	NN	living
.	SENT	.
You	PP	you
could	MD	could
say	VB	say
that	IN	that
I	PP	I
get	VBP	get
paid	VBN	pay
to	TO	to
argue	VB	argue
that	IN	that
the	DT	the
language	NN	language
we	PP	we
use	VBP	use
matters	NNS	matter
,	,	,
and	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
argue	VB	argue
that	IN	that
many	JJ	many
of	IN	of
the	DT	the
metaphors	NNS	metaphor
we	PP	we
use	VBP	use
to	TO	to
talk	VB	talk
about	IN	about
love	NN	love
—	:	-
maybe	RB	maybe
even	RB	even
most	JJS	most
of	IN	of
them	PP	them
—	:	-
are	VBP	be
a	DT	a
problem	NN	problem
.	SENT	.
So	RB	so
,	,	,
in	IN	in
love	NN	love
,	,	,
we	PP	we
fall	VBP	fall
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
struck	VBD	strike
.	SENT	.
We	PP	we
are	VBP	be
crushed	VBN	crush
.	SENT	.
We	PP	we
swoon	VBP	swoon
.	SENT	.
We	PP	we
burn	VBP	burn
with	IN	with
passion	NN	passion
.	SENT	.
Love	NP	Love
makes	VBZ	make
us	PP	us
crazy	JJ	crazy
,	,	,
and	CC	and
it	PP	it
makes	VBZ	make
us	PP	us
sick	JJ	sick
.	SENT	.
Our	PP$	our
hearts	NNS	heart
ache	NN	ache
,	,	,
and	CC	and
then	RB	then
they	PP	they
break	VBP	break
.	SENT	.
So	IN	so
our	PP$	our
metaphors	NNS	metaphor
equate	VB	equate
the	DT	the
experience	NN	experience
of	IN	of
loving	JJ	loving
someone	NN	someone
to	TO	to
extreme	JJ	extreme
violence	NN	violence
or	CC	or
illness	NN	illness
.	SENT	.
They	PP	they
do	VBP	do
.	SENT	.
And	CC	and
they	PP	they
position	VBP	position
us	PP	us
as	IN	as
the	DT	the
victims	NNS	victim
of	IN	of
unforeseen	JJ	unforeseen
and	CC	and
totally	RB	totally
unavoidable	JJ	unavoidable
circumstances	NNS	circumstance
.	SENT	.
My	PP$	my
favorite	JJ	favorite
one	CD	one
of	IN	of
these	DT	these
is	VBZ	be
"	``	"
smitten	VBN	smite
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
the	DT	the
past	JJ	past
participle	NN	participle
of	IN	of
the	DT	the
word	NN	word
"	``	"
smite	VB	smite
.	SENT	.
"	''	"
And	CC	and
if	IN	if
you	PP	you
look	VBP	look
this	DT	this
word	NN	word
up	RP	up
in	IN	in
the	DT	the
dictionary	NN	dictionary
—	:	-
you	PP	you
will	MD	will
see	VB	see
that	IN	that
it	PP	it
can	MD	can
be	VB	be
defined	VBN	define
as	IN	as
both	DT	both
"	``	"
grievous	JJ	grievous
affliction	NN	affliction
,	,	,
"	''	"
and	CC	and
,	,	,
"	``	"
to	TO	to
be	VB	be
very	RB	very
much	JJ	much
in	IN	in
love	NN	love
.	SENT	.
"	``	"
I	PP	I
tend	VBP	tend
to	TO	to
associate	VB	associate
the	DT	the
word	NN	word
"	``	"
smite	VB	smite
"	''	"
with	IN	with
a	DT	a
very	RB	very
particular	JJ	particular
context	NN	context
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
Old	JJ	old
Testament	NN	testament
.	SENT	.
In	IN	in
the	DT	the
Book	NN	book
of	IN	of
Exodus	NN	exodus
alone	RB	alone
,	,	,
there	EX	there
are	VBP	be
16	CD	@card@
references	NNS	reference
to	TO	to
smiting	VBG	smite
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
word	NN	word
that	IN	that
the	DT	the
Bible	NN	Bible
uses	VBZ	use
for	IN	for
the	DT	the
vengeance	NN	vengeance
of	IN	of
an	DT	an
angry	JJ	angry
God	NP	God
.	SENT	.
Here	RB	here
we	PP	we
are	VBP	be
using	VBG	use
the	DT	the
same	JJ	same
word	NN	word
to	TO	to
talk	VB	talk
about	RB	about
love	VB	love
that	IN	that
we	PP	we
use	VBP	use
to	TO	to
explain	VB	explain
a	DT	a
plague	NN	plague
of	IN	of
locusts	NNS	locust
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
,	,	,
how	WRB	how
did	VBD	do
this	DT	this
happen	VB	happen
?	SENT	?
How	WRB	how
have	VB	have
we	PP	we
come	VBN	come
to	TO	to
associate	VB	associate
love	NN	love
with	IN	with
great	JJ	great
pain	NN	pain
and	CC	and
suffering	NN	suffering
?	SENT	?
And	CC	and
why	WRB	why
do	VBP	do
we	PP	we
talk	VB	talk
about	IN	about
this	DT	this
ostensibly	RB	ostensibly
good	JJ	good
experience	NN	experience
as	IN	as
if	IN	if
we	PP	we
are	VBP	be
victims	NNS	victim
?	SENT	?
These	DT	these
are	VBP	be
difficult	JJ	difficult
questions	NNS	question
,	,	,
but	CC	but
I	PP	I
have	VBP	have
some	DT	some
theories	NNS	theory
.	SENT	.
And	CC	and
to	TO	to
think	VB	think
this	DT	this
through	IN	through
,	,	,
I	PP	I
want	VBP	want
to	TO	to
focus	VB	focus
on	IN	on
one	CD	one
metaphor	NN	metaphor
in	IN	in
particular	NN	particular
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
idea	NN	idea
of	IN	of
love	NN	love
as	IN	as
madness	NN	madness
.	SENT	.
When	WRB	when
I	PP	I
first	RB	first
started	VBD	start
researching	VBG	research
romantic	JJ	romantic
love	NN	love
,	,	,
I	PP	I
found	VBD	find
these	DT	these
madness	NN	madness
metaphors	NNS	metaphor
everywhere	RB	everywhere
.	SENT	.
The	DT	the
history	NN	history
of	IN	of
Western	JJ	Western
culture	NN	culture
is	VBZ	be
full	JJ	full
of	IN	of
language	NN	language
that	WDT	that
equates	VBZ	equate
love	NN	love
to	TO	to
mental	JJ	mental
illness	NN	illness
.	SENT	.
These	DT	these
are	VBP	be
just	RB	just
a	DT	a
few	JJ	few
examples	NNS	example
.	SENT	.
William	NP	William
Shakespeare	NP	Shakespeare
:	:	:
"	``	"
Love	NN	love
is	VBZ	be
merely	RB	merely
a	DT	a
madness	NN	madness
,	,	,
"	''	"
from	IN	from
"	``	"
As	IN	as
You	PP	you
Like	IN	like
It	PP	it
.	SENT	.
"	''	"
Friedrich	NP	Friedrich
Nietzsche	NP	Nietzsche
:	:	:
"	``	"
There	EX	there
is	VBZ	be
always	RB	always
some	DT	some
madness	NN	madness
in	IN	in
love	NN	love
.	SENT	.
"	''	"
"	''	"
Got	VBD	get
me	PP	me
looking	VBG	look
,	,	,
got	VBD	get
me	PP	me
looking	VBG	look
so	RB	so
crazy	JJ	crazy
in	IN	in
love	NN	love
—	:	-
"	``	"
from	IN	from
the	DT	the
great	JJ	great
philosopher	NN	philosopher
,	,	,
Beyonc��	NP	<unknown>
Knowles	NP	Knowles
.	SENT	.
I	PP	I
fell	VBD	fall
in	IN	in
love	NN	love
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
when	WRB	when
I	PP	I
was	VBD	be
20	CD	@card@
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
pretty	RB	pretty
turbulent	JJ	turbulent
relationship	NN	relationship
right	NN	right
from	IN	from
the	DT	the
start	NN	start
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
long	JJ	long
distance	NN	distance
for	IN	for
the	DT	the
first	JJ	first
couple	NN	couple
of	IN	of
years	NNS	year
,	,	,
so	RB	so
for	IN	for
me	PP	me
that	WDT	that
meant	VBD	mean
very	RB	very
high	JJ	high
highs	NNS	high
and	CC	and
very	RB	very
low	JJ	low
lows	NNS	low
.	SENT	.
I	PP	I
can	MD	can
remember	VB	remember
one	CD	one
moment	NN	moment
in	IN	in
particular	JJ	particular
.	SENT	.
I	PP	I
was	VBD	be
sitting	VBG	sit
on	IN	on
a	DT	a
bed	NN	bed
in	IN	in
a	DT	a
hostel	NN	hostel
in	IN	in
South	NP	South
America	NP	America
,	,	,
and	CC	and
I	PP	I
was	VBD	be
watching	VBG	watch
the	DT	the
person	NN	person
I	PP	I
love	VBP	love
walk	VB	walk
out	RP	out
the	DT	the
door	NN	door
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
late	JJ	late
,	,	,
it	PP	it
was	VBD	be
nearly	RB	nearly
midnight	NN	midnight
,	,	,
we	PP	we
'	POS	'
d	NN	d
gotten	VBN	get
into	IN	into
an	DT	an
argument	NN	argument
over	IN	over
dinner	NN	dinner
,	,	,
and	CC	and
when	WRB	when
we	PP	we
got	VBD	get
back	RB	back
to	TO	to
our	PP$	our
room	NN	room
,	,	,
he	PP	he
threw	VBD	throw
his	PP$	his
things	NNS	thing
in	IN	in
the	DT	the
bag	NN	bag
and	CC	and
stormed	VBD	storm
out	RP	out
.	SENT	.
While	IN	while
I	PP	I
can	MD	can
no	RB	no
longer	RBR	longer
remember	VB	remember
what	WP	what
that	DT	that
argument	NN	argument
was	VBD	be
about	RB	about
,	,	,
I	PP	I
very	RB	very
clearly	RB	clearly
remember	VB	remember
how	WRB	how
I	PP	I
felt	VBD	feel
watching	VBG	watch
him	PP	him
leave	VBP	leave
.	SENT	.
I	PP	I
was	VBD	be
22	CD	@card@
,	,	,
it	PP	it
was	VBD	be
my	PP$	my
first	JJ	first
time	NN	time
in	IN	in
the	DT	the
developing	VBG	develop
world	NN	world
,	,	,
and	CC	and
I	PP	I
was	VBD	be
totally	RB	totally
alone	RB	alone
.	SENT	.
I	PP	I
had	VBD	have
another	DT	another
week	NN	week
until	IN	until
my	PP$	my
flight	NN	flight
home	NN	home
,	,	,
and	CC	and
I	PP	I
knew	VBD	know
the	DT	the
name	NN	name
of	IN	of
the	DT	the
town	NN	town
that	IN	that
I	PP	I
was	VBD	be
in	IN	in
,	,	,
and	CC	and
the	DT	the
name	NN	name
of	IN	of
the	DT	the
city	NN	city
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
get	VB	get
to	TO	to
to	TO	to
fly	VB	fly
out	RP	out
,	,	,
but	CC	but
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
how	WRB	how
to	TO	to
get	VB	get
around	RP	around
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
guidebook	NN	guidebook
and	CC	and
very	RB	very
little	JJ	little
money	NN	money
,	,	,
and	CC	and
I	PP	I
spoke	VBD	speak
no	RB	no
Spanish	JJ	Spanish
.	SENT	.
Someone	NN	someone
more	RBR	more
adventurous	JJ	adventurous
than	IN	than
me	PP	me
might	MD	might
have	VB	have
seen	VBN	see
this	DT	this
as	IN	as
a	DT	a
moment	NN	moment
of	IN	of
opportunity	NN	opportunity
,	,	,
but	CC	but
I	PP	I
just	RB	just
froze	VBD	freeze
.	SENT	.
I	PP	I
just	RB	just
sat	VBD	sit
there	RB	there
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
burst	VBP	burst
into	IN	into
tears	NNS	tear
.	SENT	.
But	CC	but
despite	IN	despite
my	PP$	my
panic	NN	panic
,	,	,
some	DT	some
small	JJ	small
voice	NN	voice
in	IN	in
my	PP$	my
head	NN	head
thought	VBD	think
,	,	,
"	``	"
Wow	NN	wow
.	SENT	.
That	DT	that
was	VBD	be
dramatic	JJ	dramatic
.	SENT	.
I	PP	I
must	MD	must
really	RB	really
be	VB	be
doing	VBG	do
this	DT	this
love	NN	love
thing	NN	thing
right	NN	right
.	SENT	.
"	''	"
Because	IN	because
some	DT	some
part	NN	part
of	IN	of
me	PP	me
wanted	VBD	want
to	TO	to
feel	VB	feel
miserable	JJ	miserable
in	IN	in
love	NN	love
.	SENT	.
And	CC	and
it	PP	it
sounds	VBZ	sound
so	RB	so
strange	JJ	strange
to	TO	to
me	PP	me
now	RB	now
,	,	,
but	CC	but
at	IN	at
22	CD	@card@
,	,	,
I	PP	I
longed	VBD	long
to	TO	to
have	VB	have
dramatic	JJ	dramatic
experiences	NNS	experience
,	,	,
and	CC	and
in	IN	in
that	DT	that
moment	NN	moment
,	,	,
I	PP	I
was	VBD	be
irrational	JJ	irrational
and	CC	and
furious	JJ	furious
and	CC	and
devastated	JJ	devastated
,	,	,
and	CC	and
weirdly	RB	weirdly
enough	RB	enough
,	,	,
I	PP	I
thought	VBD	think
that	IN	that
this	DT	this
somehow	RB	somehow
legitimized	VBN	legitimize
the	DT	the
feelings	NNS	feeling
I	PP	I
had	VBD	have
for	IN	for
the	DT	the
guy	NN	guy
who	WP	who
had	VBD	have
just	RB	just
left	VBN	leave
me	PP	me
.	SENT	.
I	PP	I
think	VBP	think
on	IN	on
some	DT	some
level	NN	level
I	PP	I
wanted	VBD	want
to	TO	to
feel	VB	feel
a	DT	a
little	JJ	little
bit	NN	bit
crazy	JJ	crazy
,	,	,
because	IN	because
I	PP	I
thought	VBD	think
that	IN	that
that	DT	that
was	VBD	be
how	WRB	how
love	NN	love
worked	VBD	work
.	SENT	.
This	DT	this
really	RB	really
should	MD	should
not	RB	not
be	VB	be
surprising	JJ	surprising
,	,	,
considering	VBG	consider
that	IN	that
according	VBG	accord
to	TO	to
Wikipedia	NP	<unknown>
,	,	,
there	EX	there
are	VBP	be
eight	CD	eight
films	NNS	film
,	,	,
14	CD	@card@
songs	NNS	song
,	,	,
two	CD	two
albums	NNS	album
and	CC	and
one	CD	one
novel	NN	novel
with	IN	with
the	DT	the
title	NN	title
"	``	"
Crazy	NP	Crazy
Love	NP	Love
