Some	DT	some
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
on	IN	on
an	DT	an
airplane	NN	airplane
with	IN	with
my	PP$	my
son	NN	son
who	WP	who
was	VBD	be
just	RB	just
five	CD	five
years	NNS	year
old	JJ	old
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
My	PP$	my
son	NN	son
was	VBD	be
so	RB	so
excited	VBN	excite
about	IN	about
being	VBG	be
on	IN	on
this	DT	this
airplane	NN	airplane
with	IN	with
Mommy	NP	Mommy
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
looking	VBG	look
all	DT	all
around	RB	around
and	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
checking	VBG	check
things	NNS	thing
out	RP	out
and	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
checking	VBG	check
people	NNS	people
out	RP	out
.	SENT	.
And	CC	and
he	PP	he
sees	VBZ	see
this	DT	this
man	NN	man
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Hey	NP	Hey
!	SENT	!
That	DT	that
guy	NN	guy
looks	VBZ	look
like	IN	like
Daddy	NN	daddy
!	SENT	!
"	``	"
And	CC	and
I	PP	I
look	VBP	look
at	IN	at
the	DT	the
man	NN	man
,	,	,
and	CC	and
he	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
look	NN	look
anything	NN	anything
at	IN	at
all	DT	all
like	IN	like
my	PP$	my
husband	NN	husband
,	,	,
nothing	NN	nothing
at	IN	at
all	DT	all
.	SENT	.
And	CC	and
so	RB	so
then	RB	then
I	PP	I
start	VBP	start
looking	VBG	look
around	RP	around
on	IN	on
the	DT	the
plane	NN	plane
,	,	,
and	CC	and
I	PP	I
notice	VBP	notice
this	DT	this
man	NN	man
was	VBD	be
the	DT	the
only	JJ	only
black	JJ	black
guy	NN	guy
on	IN	on
the	DT	the
plane	NN	plane
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Alright	RB	alright
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
have	VB	have
a	DT	a
little	JJ	little
talk	NN	talk
with	IN	with
my	PP$	my
son	NN	son
about	IN	about
how	WRB	how
not	RB	not
all	DT	all
black	JJ	black
people	NNS	people
look	VBP	look
alike	RB	alike
.	SENT	.
"	``	"
My	PP$	my
son	NN	son
,	,	,
he	PP	he
lifts	VBZ	lift
his	PP$	his
head	NN	head
up	RP	up
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
to	TO	to
me	PP	me
,	,	,
"	``	"
I	PP	I
hope	VBP	hope
he	PP	he
doesn	NN	<unknown>
'	POS	'
t	NN	t
rob	VB	rob
the	DT	the
plane	NN	plane
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
?	SENT	?
What	WP	what
did	VBD	do
you	PP	you
say	VBP	say
?	SENT	?
"	``	"
And	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Well	UH	well
,	,	,
I	PP	I
hope	VBP	hope
that	IN	that
