Folks	NNS	folk
but	CC	but
I	PP	I
also	RB	also
remember	VBP	remember
the	DT	the
great	JJ	great
hippie	NN	hippie
bumper	NN	bumper
sticker	NN	sticker
that	WDT	that
said	VBD	say
,	,	,
"	``	"
Let	VB	let
there	EX	there
be	VB	be
peace	NN	peace
in	IN	in
the	DT	the
world	NN	world
and	CC	and
let	VB	let
it	PP	it
begin	VB	begin
with	IN	with
me	PP	me
,	,	,
"	``	"
and	CC	and
I	PP	I
also	RB	also
remember	VBP	remember
when	WRB	when
people	NNS	people
were	VBD	be
actually	RB	actually
talking	VBG	talk
about	IN	about
world	NN	world
peace	NN	peace
.	SENT	.
Nowadays	RB	nowadays
,	,	,
if	IN	if
you	PP	you
talk	VBP	talk
about	IN	about
world	NN	world
peace	NN	peace
,	,	,
people	NNS	people
roll	VBP	roll
their	PP$	their
eyes	NNS	eye
,	,	,
and	CC	and
they	PP	they
think	VBP	think
you	PP	you
'	''	'
re	IN	re
naive	JJ	naive
and	CC	and
it	PP	it
'	POS	'
ll	NNS	<unknown>
never	RB	never
happen	VB	happen
.	SENT	.
But	CC	but
I	PP	I
truly	RB	truly
believe	VBP	believe
that	IN	that
we	PP	we
can	MD	can
work	VB	work
towards	IN	towards
world	NN	world
peace	NN	peace
.	SENT	.
But	CC	but
you	PP	you
'	POS	'
re	NN	re
absolutely	RB	absolutely
right	RB	right
.	SENT	.
Let	VB	let
there	RB	there
be	VB	be
peace	NN	peace
in	IN	in
the	DT	the
world	NN	world
and	CC	and
let	VB	let
it	PP	it
begin	VB	begin
with	IN	with
me	PP	me
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
also	RB	also
,	,	,
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
be	VB	be
working	VBG	work
on	IN	on
our	PP$	our
"	``	"
Kung	NP	Kung
Fu	NP	Fu
"	''	"
part	NN	part
of	IN	of
our	PP$	our
journey	NN	journey
,	,	,
on	IN	on
our	PP$	our
personal	JJ	personal
,	,	,
what	WP	what
I	PP	I
would	MD	would
call	VB	call
spiritual	JJ	spiritual
development	NN	development
.	SENT	.
And	CC	and
you	PP	you
certainly	RB	certainly
don	VBP	don
'	POS	'
t	NN	t
need	VBP	need
a	DT	a
belief	NN	belief
in	IN	in
a	DT	a
higher	JJR	high
power	NN	power
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
But	CC	but
one	CD	one
of	IN	of
the	DT	the
aspects	NNS	aspect
of	IN	of
the	DT	the
book	NN	book
I	PP	I
have	VBP	have
at	IN	at
the	DT	the
end	NN	end
,	,	,
I	PP	I
have	VBP	have
seven	CD	seven
pillars	NNS	pillar
for	IN	for
a	DT	a
spiritual	JJ	spiritual
revolution	NN	revolution
,	,	,
and	CC	and
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
virtues	NN	virtues
education	NN	education
.	SENT	.
So	RB	so
I	PP	I
believe	VBP	believe
that	IN	that
we	PP	we
all	RB	all
have	VBP	have
spiritual	JJ	spiritual
virtues	NNS	virtue
contained	VBN	contain
in	IN	in
us	PP	us
.	SENT	.
There	EX	there
are	VBP	be
small	JJ	small
pieces	NNS	piece
of	IN	of
the	DT	the
divine	NN	divine
,	,	,
the	DT	the
reflections	NNS	reflection
of	IN	of
God	NP	God
,	,	,
they	PP	they
'	POS	'
re	NN	re
reflections	NNS	reflection
of	IN	of
the	DT	the
beautiful	JJ	beautiful
creative	JJ	creative
force	NN	force
that	IN	that
courses	NNS	course
through	IN	through
the	DT	the
universe	NN	universe
.	SENT	.
They	PP	they
are	VBP	be
kindness	NN	kindness
,	,	,
humility	NN	humility
,	,	,
patience	NN	patience
,	,	,
honor	NN	honor
,	,	,
creativity	NN	creativity
,	,	,
love	NN	love
,	,	,
honesty	NN	honesty
.	SENT	.
The	DT	the
list	NN	list
goes	VBZ	go
on	IN	on
and	CC	and
on	IN	on
.	SENT	.
And	CC	and
that	IN	that
these	DT	these
need	NN	need
to	TO	to
be	VB	be
cultivated	VBN	cultivate
in	IN	in
us	PP	us
and	CC	and
in	IN	in
our	PP$	our
children	NNS	child
especially	RB	especially
.	SENT	.
And	CC	and
we	PP	we
don	NN	don
'	POS	'
t	NN	t
really	RB	really
do	VBP	do
that	DT	that
.	SENT	.
Now	RB	now
I	PP	I
want	VBP	want
to	TO	to
just	RB	just
say	VB	say
that	IN	that
,	,	,
again	RB	again
,	,	,
one	CD	one
doesn	NNS	<unknown>
'	POS	'
t	NN	t
need	VBP	need
to	TO	to
have	VB	have
a	DT	a
religious	JJ	religious
faith	NN	faith
to	TO	to
look	VB	look
at	IN	at
the	DT	the
these	DT	these
virtues	NNS	virtue
in	IN	in
this	DT	this
way	NN	way
.	SENT	.
You	PP	you
can	MD	can
simply	RB	simply
look	VB	look
at	IN	at
them	PP	them
as	IN	as
positive	JJ	positive
character	NN	character
traits	NNS	trait
or	CC	or
leadership	NN	leadership
qualities	NNS	quality
,	,	,
and	CC	and
we	PP	we
want	VBP	want
to	TO	to
cultivate	VB	cultivate
those	DT	those
in	IN	in
our	PP$	our
children	NNS	child
with	IN	with
or	CC	or
without	IN	without
any	DT	any
kind	NN	kind
of	IN	of
religion	NN	religion
or	CC	or
spirituality	NN	spirituality
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
up	RP	up
to	TO	to
the	DT	the
parent	NN	parent
.	SENT	.
But	CC	but
,	,	,
all	RB	all
too	RB	too
often	RB	often
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
noticed	VBD	notice
in	IN	in
raising	VBG	raise
our	PP$	our
son	NN	son
that	IN	that
when	WRB	when
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
a	DT	a
child	NN	child
is	VBZ	be
dishonest	JJ	dishonest
and	CC	and
caught	VBN	catch
in	IN	in
a	DT	a
lie	NN	lie
,	,	,
a	DT	a
parent	NN	parent
will	MD	will
say	VB	say
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
don	NN	don
'	POS	'
t	NN	t
lie	NN	lie
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
bad	JJ	bad
to	TO	to
lie	VB	lie
.	SENT	.
"	``	"
But	CC	but
they	PP	they
will	MD	will
not	RB	not
have	VB	have
done	VBN	do
the	DT	the
work	NN	work
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
quality	NN	quality
of	IN	of
honesty	NN	honesty
and	CC	and
how	WRB	how
important	JJ	important
honesty	NN	honesty
is	VBZ	be
and	CC	and
how	WRB	how
honesty	NN	honesty
manifests	NNS	manifest
in	IN	in
your	PP$	your
life	NN	life
and	CC	and
how	WRB	how
your	PP$	your
life	NN	life
can	MD	can
be	VB	be
made	VBN	make
better	RBR	well
and	CC	and
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
lives	NNS	life
can	MD	can
be	VB	be
made	VBN	make
better	RBR	well
through	IN	through
the	DT	the
quality	NN	quality
of	IN	of
honesty	NN	honesty
.	SENT	.
But	CC	but
the	DT	the
importance	NN	importance
of	IN	of
virtues	NNS	virtue
education	NN	education
is	VBZ	be
something	NN	something
that	IN	that
we	PP	we
can	MD	can
do	VB	do
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
,	,	,
we	PP	we
can	MD	can
do	VB	do
it	PP	it
on	IN	on
a	DT	a
family	NN	family
level	NN	level
,	,	,
we	PP	we
can	MD	can
do	VB	do
it	PP	it
in	IN	in
our	PP$	our
cul	NN	cul
de	NP	de
sac	NN	sac
or	CC	or
our	PP$	our
condominium	NN	condominium
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
it	PP	it
at	IN	at
our	PP$	our
local	JJ	local
church	NN	church
and	CC	and
we	PP	we
can	MD	can
do	VB	do
it	PP	it
at	IN	at
our	PP$	our
local	JJ	local
school	NN	school
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
pillars	NNS	pillar
toward	IN	toward
a	DT	a
spiritual	JJ	spiritual
revolution	NN	revolution
.	SENT	.
CZ	NN	CZ
:	:	:
And	CC	and
Rainn	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
you	PP	you
talk	VBP	talk
about	RB	about
so	RB	so
eloquently	RB	eloquently
in	IN	in
the	DT	the
book	NN	book
is	VBZ	be
really	RB	really
pointing	VBG	point
to	TO	to
one	CD	one
of	IN	of
many	JJ	many
pandemics	NNS	pandemic
that	IN	that
we	PP	we
'	''	'
re	IN	re
living	VBG	live
through	RP	through
,	,	,
including	VBG	include
racism	NN	racism
,	,	,
sexism	NN	sexism
,	,	,
materialism	NN	materialism
,	,	,
climate	NN	climate
change	NN	change
.	SENT	.
You	PP	you
also	RB	also
talk	VBP	talk
about	IN	about
the	DT	the
mental	JJ	mental
health	NN	health
pandemic	NN	pandemic
and	CC	and
particularly	RB	particularly
how	WRB	how
that	DT	that
applies	VBZ	apply
to	TO	to
young	JJ	young
people	NNS	people
in	IN	in
our	PP$	our
lives	NNS	life
.	SENT	.
RW	NN	RW
:	:	:
So	RB	so
I	PP	I
talk	VBP	talk
at	IN	at
great	JJ	great
length	NN	length
in	IN	in
the	DT	the
book	NN	book
about	IN	about
having	VBG	have
spiritual	JJ	spiritual
conversations	NNS	conversation
,	,	,
about	IN	about
deep	JJ	deep
topics	NNS	topic
that	WDT	that
have	VBP	have
existed	VBN	exist
from	IN	from
the	DT	the
dawn	NN	dawn
of	IN	of
time	NN	time
,	,	,
from	IN	from
the	DT	the
Hindu	JJ	Hindu
tradition	NN	tradition
,	,	,
from	IN	from
the	DT	the
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
Vedas	NP	<unknown>
and	CC	and
Upanishads	NPS	<unknown>
,	,	,
the	DT	the
Bhagavad	NP	<unknown>
Gita	NP	Gita
,	,	,
through	IN	through
the	DT	the
sayings	NNS	saying
of	IN	of
the	DT	the
Buddha	NN	buddha
,	,	,
the	DT	the
dharma	NN	dharma
paytas	NNS	<unknown>
through	IN	through
the	DT	the
Bible	NP	Bible
and	CC	and
the	DT	the
Koran	NP	Koran
and	CC	and
the	DT	the
holy	JJ	holy
writings	NNS	writing
of	IN	of
Indigenous	JJ	indigenous
faiths	NNS	faith
as	IN	as
well	RB	well
,	,	,
and	CC	and
traditions	NNS	tradition
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
issues	NNS	issue
with	IN	with
young	JJ	young
people	NNS	people
in	IN	in
the	DT	the
mental	JJ	mental
health	NN	health
epidemic	NN	epidemic
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
resilience	NN	resilience
.	SENT	.
If	IN	if
you	PP	you
ask	VBP	ask
psychologists	NNS	psychologist
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
lack	NN	lack
of	IN	of
resilience	NN	resilience
in	IN	in
young	JJ	young
people	NNS	people
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
break	VBP	break
that	IN	that
down	RB	down
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
In	IN	in
our	PP$	our
contemporary	JJ	contemporary
Western	JJ	Western
culture	NN	culture
,	,	,
we	PP	we
no	RB	no
longer	RBR	longer
talk	VB	talk
about	IN	about
death	NN	death
.	SENT	.
Death	NN	death
is	VBZ	be
just	RB	just
,	,	,
it	PP	it
'	POS	'
s	NN	S
taboo	NN	taboo
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
forbidden	VBN	forbid
.	SENT	.
But	CC	but
because	IN	because
we	PP	we
'	POS	'
re	NN	re
not	RB	not
talking	VBG	talk
about	IN	about
death	NN	death
,	,	,
we	PP	we
'	POS	'
re	NN	re
also	RB	also
not	RB	not
talking	VBG	talk
about	IN	about
suffering	NN	suffering
and	CC	and
the	DT	the
nature	NN	nature
of	IN	of
suffering	NN	suffering
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
Buddha	NN	buddha
taught	VBD	teach
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
"	``	"
I	PP	I
teach	VBP	teach
one	CD	one
thing	NN	thing
and	CC	and
one	CD	one
thing	NN	thing
only	RB	only
,	,	,
suffering	NN	suffering
and	CC	and
the	DT	the
end	NN	end
of	IN	of
suffering	NN	suffering
.	SENT	.
"	``	"
Guess	VB	guess
what	WP	what
?	SENT	?
Life	NP	Life
is	VBZ	be
suffering	VBG	suffer
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
filled	VBN	fill
with	IN	with
disappointment	NN	disappointment
and	CC	and
struggle	NN	struggle
and	CC	and
conflict	NN	conflict
and	CC	and
heartbreak	NN	heartbreak
and	CC	and
death	NN	death
of	IN	of
pets	NNS	pet
,	,	,
of	IN	of
friends	NNS	friend
,	,	,
of	IN	of
relatives	NNS	relative
,	,	,
of	IN	of
grandparents	NNS	grandparent
.	SENT	.
The	DT	the
list	NN	list
goes	VBZ	go
on	IN	on
and	CC	and
on	IN	on
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
affects	VBZ	affect
young	JJ	young
folk	NN	folk
in	IN	in
a	DT	a
way	NN	way
that	IN	that
they	PP	they
have	VBP	have
much	RB	much
less	JJR	less
resilience	NN	resilience
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
much	RB	much
more	RBR	more
to	TO	to
the	DT	the
mental	JJ	mental
health	NN	health
crisis	NN	crisis
than	IN	than
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
just	RB	just
one	CD	one
small	JJ	small
slice	NN	slice
of	IN	of
the	DT	the
pie	NN	pie
,	,	,
but	CC	but
it	PP	it
does	VBZ	do
have	VBP	have
to	TO	to
do	VB	do
with	IN	with
why	WRB	why
spiritual	JJ	spiritual
conversations	NNS	conversation
and	CC	and
spiritual	JJ	spiritual
tools	NNS	tool
are	VBP	be
so	RB	so
important	JJ	important
.	SENT	.
CZ	NN	CZ
:	:	:
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
I	PP	I
had	VBD	have
heard	VBN	hear
the	DT	the
surgeon	NN	surgeon
general	NN	general
'	POS	'
s	NN	S
.	SENT	.
.	SENT	.
.	SENT	.
discussion	NN	discussion
about	IN	about
the	DT	the
pandemic	NN	pandemic
of	IN	of
loneliness	NN	loneliness
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
very	RB	very
striking	JJ	striking
to	TO	to
me	PP	me
that	IN	that
it	PP	it
is	VBZ	be
both	CC	both
with	IN	with
young	JJ	young
people	NNS	people
and	CC	and
with	IN	with
our	PP$	our
elderly	JJ	elderly
and	CC	and
really	RB	really
spanning	VBG	span
generations	NNS	generation
and	CC	and
incredibly	RB	incredibly
serious	JJ	serious
.	SENT	.
But	CC	but
in	IN	in
your	PP$	your
book	NN	book
,	,	,
as	IN	as
a	DT	a
rhetorical	JJ	rhetorical
device	NN	device
,	,	,
you	PP	you
propose	VBP	propose
the	DT	the
creation	NN	creation
of	IN	of
a	DT	a
new	JJ	new
religion	NN	religion
called	VBD	call
Soul	NN	soul
Boom	NP	Boom
.	SENT	.
And	CC	and
in	IN	in
that	IN	that
,	,	,
in	IN	in
the	DT	the
tenets	NNS	tenet
of	IN	of
that	DT	that
religion	NN	religion
,	,	,
you	PP	you
say	VBP	say
that	IN	that
science	NN	science
and	CC	and
religion	NN	religion
should	MD	should
really	RB	really
live	VB	live
side	NN	side
by	IN	by
side	NN	side
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
pretty	RB	pretty
crazy	JJ	crazy
idea	NN	idea
,	,	,
right	RB	right
?	SENT	?
RW	NN	RW
:	:	:
Such	PDT	such
a	DT	a
great	JJ	great
and	CC	and
important	JJ	important
question	NN	question
.	SENT	.
And	CC	and
I	PP	I
do	VBP	do
believe	VB	believe
that	DT	that
.	SENT	.
.	SENT	.
.	SENT	.
Contemporary	JJ	contemporary
society	NN	society
has	VBZ	have
been	VBN	be
so	RB	so
toxified	JJ	<unknown>
by	IN	by
partisanship	NN	partisanship
and	CC	and
bifurcated	VBN	bifurcate
,	,	,
that	IN	that
,	,	,
for	IN	for
some	DT	some
on	IN	on
the	DT	the
political	JJ	political
left	NN	left
,	,	,
any	DT	any
mention	NN	mention
of	IN	of
spirituality	NN	spirituality
or	CC	or
spiritual	JJ	spiritual
solutions	NNS	solution
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
church	NN	church
,	,	,
which	WDT	which
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
political	JJ	political
right	NN	right
.	SENT	.
And	CC	and
any	DT	any
talk	NN	talk
about	IN	about
science	NN	science
and	CC	and
like	VB	like
,	,	,
science	NN	science
fixing	VBG	fix
let	NN	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
,	,	,
climate	NN	climate
change	NN	change
or	CC	or
whatever	WDT	whatever
,	,	,
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
a	DT	a
partisanship	NN	partisanship
and	CC	and
negativity	NN	negativity
having	VBG	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
left	NN	left
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
kind	NN	kind
of	IN	of
at	IN	at
each	DT	each
other	JJ	other
,	,	,
and	CC	and
what	WP	what
has	VBZ	have
happened	VBN	happen
in	IN	in
this	DT	this
,	,	,
kind	NN	kind
of	IN	of
,	,	,
church	NN	church
versus	CC	versus
reason	NN	reason
,	,	,
faith	NN	faith
versus	CC	versus
reason	NN	reason
debate	NN	debate
is	VBZ	be
we	PP	we
'	POS	'
ve	NN	ve
created	VBD	create
a	DT	a
false	JJ	false
dichotomy	NN	dichotomy
that	IN	that
science	NN	science
and	CC	and
religion	NN	religion
,	,	,
science	NN	science
and	CC	and
spirituality	NN	spirituality
,	,	,
rather	RB	rather
,	,	,
are	VBP	be
two	CD	two
wings	NNS	wing
of	IN	of
one	CD	one
bird	NN	bird
.	SENT	.
And	CC	and
that	DT	that
bird	NN	bird
is	VBZ	be
reality	NN	reality
.	SENT	.
That	IN	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
in	IN	in
opposition	NN	opposition
to	TO	to
each	DT	each
other	JJ	other
.	SENT	.
They	PP	they
are	VBP	be
very	RB	very
much	JJ	much
in	IN	in
harmony	NN	harmony
.	SENT	.
There	EX	there
are	VBP	be
two	CD	two
ways	NNS	way
of	IN	of
understanding	VBG	understand
one	CD	one
reality	NN	reality
.	SENT	.
Science	NP	Science
understands	VBZ	understand
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
way	NN	way
of	IN	of
processing	VBG	process
data	NNS	datum
through	IN	through
experimentation	NN	experimentation
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
a	DT	a
compilation	NN	compilation
of	IN	of
the	DT	the
data	NNS	datum
that	RB	that
'	''	'
s	RB	<unknown>
been	VBN	be
compiled	VBN	compile
,	,	,
that	WDT	that
has	VBZ	have
been	VBN	be
proven	VBN	prove
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
have	VB	have
this	DT	this
conversation	NN	conversation
on	IN	on
these	DT	these
laptops	NNS	laptop
with	IN	with
these	DT	these
cameras	NNS	camera
over	IN	over
the	DT	the
magical	JJ	magical
interwebs	NNS	<unknown>
,	,	,
is	VBZ	be
through	IN	through
the	DT	the
beauty	NN	beauty
,	,	,
grandeur	NN	grandeur
,	,	,
majesty	NN	majesty
and	CC	and
amazingness	NN	<unknown>
of	IN	of
science	NN	science
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
spirituality	NN	spirituality
do	VB	do
?	SENT	?
Well	RB	well
,	,	,
throughout	IN	throughout
the	DT	the
great	JJ	great
wisdom	NN	wisdom
traditions	NNS	tradition
,	,	,
throughout	IN	throughout
the	DT	the
great	JJ	great
faith	NN	faith
traditions	NNS	tradition
,	,	,
not	RB	not
only	RB	only
of	IN	of
the	DT	the
Abrahamic	JJ	<unknown>
faiths	NNS	faith
,	,	,
but	CC	but
the	DT	the
eastern	JJ	eastern
faiths	NNS	faith
,	,	,
the	DT	the
Daoist	NP	<unknown>
faiths	NNS	faith
and	CC	and
the	DT	the
Indigenous	JJ	indigenous
faiths	NNS	faith
,	,	,
spiritual	JJ	spiritual
ideas	NNS	idea
seek	VBP	seek
to	TO	to
understand	VB	understand
the	DT	the
reality	NN	reality
of	IN	of
what	WP	what
it	PP	it
is	VBZ	be
to	TO	to
be	VB	be
a	DT	a
human	NN	human
being	VBG	be
.	SENT	.
CZ	NN	CZ
:	:	:
You	PP	you
have	VBP	have
a	DT	a
very	RB	very
specific	JJ	specific
prescription	NN	prescription
of	IN	of
how	WRB	how
to	TO	to
connect	VB	connect
with	IN	with
nature	NN	nature
to	TO	to
find	VB	find
that	DT	that
sacredness	NN	sacredness
in	IN	in
life	NN	life
.	SENT	.
You	PP	you
also	RB	also
talk	VBP	talk
about	IN	about
some	DT	some
personal	JJ	personal
,	,	,
deep	JJ	deep
experiences	NNS	experience
that	IN	that
you	PP	you
had	VBD	have
with	IN	with
that	DT	that
.	SENT	.
How	WRB	how
can	MD	can
we	PP	we
bring	VB	bring
the	DT	the
sacred	JJ	sacred
into	IN	into
our	PP$	our
lives	NNS	life
in	IN	in
,	,	,
you	PP	you
know	VBP	know
,	,	,
our	PP$	our
day-to-day	JJ	day-to-day
lives	NNS	life
now	RB	now
?	SENT	?
RW	NN	RW
:	:	:
Right	RB	right
,	,	,
so	IN	so
part	NN	part
of	IN	of
the	DT	the
spiritual	JJ	spiritual
journey	NN	journey
and	CC	and
spiritual	JJ	spiritual
tools	NNS	tool
that	IN	that
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
in	IN	in
the	DT	the
book	NN	book
have	VB	have
to	TO	to
do	VB	do
with	IN	with
cultivating	VBG	cultivate
a	DT	a
life	NN	life
of	IN	of
deep	JJ	deep
meaning	NN	meaning
,	,	,
purpose	NN	purpose
,	,	,
satisfaction	NN	satisfaction
and	CC	and
well-being	NN	well-being
.	SENT	.
So	RB	so
I	PP	I
have	VBP	have
a	DT	a
section	NN	section
of	IN	of
the	DT	the
book	NN	book
on	IN	on
sacredness	NN	sacredness
because	IN	because
I	PP	I
went	VBD	go
on	IN	on
a	DT	a
spiritual	JJ	spiritual
pilgrimage	NN	pilgrimage
in	IN	in
my	PP$	my
faith	NN	faith
tradition	NN	tradition
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
so	RB	so
profoundly	RB	profoundly
moving	VBG	move
to	TO	to
me	PP	me
that	IN	that
there	EX	there
were	VBD	be
shrines	NNS	shrine
and	CC	and
prayer	NN	prayer
and	CC	and
meditation	NN	meditation
.	SENT	.
There	EX	there
was	VBD	be
connection	NN	connection
to	TO	to
beautiful	JJ	beautiful
nature	NN	nature
with	IN	with
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
going	VBG	go
on	IN	on
this	DT	this
same	JJ	same
kind	NN	kind
of	IN	of
journey	NN	journey
together	RB	together
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
so	RB	so
deeply	RB	deeply
touching	JJ	touching
and	CC	and
meaningful	JJ	meaningful
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
got	VBD	get
back	RB	back
to	TO	to
my	PP$	my
life	NN	life
in	IN	in
Los	NP	Los
Angeles	NP	Angeles
and	CC	and
everything	NN	everything
was	VBD	be
like	IN	like
,	,	,
Zoom	VB	zoom
meetings	NNS	meeting
and	CC	and
phone	NN	phone
calls	NNS	call
and	CC	and
you	PP	you
know	VBP	know
,	,	,
appointments	NNS	appointment
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
run	VB	run
to	TO	to
Trader	NP	Trader
Joe	NP	Joe
'	POS	'
s	NN	S
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
realizing	VBG	realize
there	EX	there
is	VBZ	be
a	DT	a
lack	NN	lack
of	IN	of
sacredness	NN	sacredness
in	IN	in
my	PP$	my
own	JJ	own
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
that	IN	that
this	DT	this
might	MD	might
be	VB	be
an	DT	an
interesting	JJ	interesting
cultural	JJ	cultural
conversation	NN	conversation
,	,	,
like	VBP	like
,	,	,
can	MD	can
we	PP	we
bring	VB	bring
the	DT	the
sacred	JJ	sacred
to	TO	to
bear	VB	bear
in	IN	in
our	PP$	our
daily	JJ	daily
lives	NNS	life
in	IN	in
such	PDT	such
a	DT	a
way	NN	way
that	IN	that
it	PP	it
fulfills	VBZ	fulfill
our	PP$	our
hearts	NNS	heart
and	CC	and
fills	VBZ	fill
us	PP	us
with	IN	with
meaning	NN	meaning
and	CC	and
connection	NN	connection
and	CC	and
transcendence	NN	transcendence
?	SENT	?
One	CD	one
of	IN	of
the	DT	the
--	:	--
And	CC	and
I	PP	I
talk	VBP	talk
about	RB	about
how	WRB	how
this	DT	this
doesn	NN	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
need	VBP	need
to	TO	to
be	VB	be
a	DT	a
shrine	NN	shrine
,	,	,
although	IN	although
it	PP	it
could	MD	could
be	VB	be
a	DT	a
place	NN	place
,	,	,
for	IN	for
instance	NN	instance
,	,	,
right	RB	right
outside	IN	outside
my	PP$	my
window	NN	window
here	RB	here
,	,	,
I	PP	I
have	VBP	have
a	DT	a
wooden	JJ	wooden
bench	NN	bench
that	IN	that
I	PP	I
meditate	VBP	meditate
on	IN	on
every	DT	every
morning	NN	morning
.	SENT	.
So	RB	so
to	TO	to
me	PP	me
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
,	,	,
a	DT	a
sacred	JJ	sacred
space	NN	space
for	IN	for
me	PP	me
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
need	VBP	need
to	TO	to
be	VB	be
a	DT	a
place	NN	place
or	CC	or
a	DT	a
space	NN	space
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
a	DT	a
pancake	NN	pancake
breakfast	NN	breakfast
,	,	,
it	PP	it
can	MD	can
be	VB	be
a	DT	a
condition	NN	condition
of	IN	of
the	DT	the
heart	NN	heart
.	SENT	.
But	CC	but
nature	NN	nature
is	VBZ	be
a	DT	a
beautiful	JJ	beautiful
way	NN	way
to	TO	to
find	VB	find
sacredness	NN	sacredness
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
something	NN	something
that	IN	that
everyone	NN	everyone
can	MD	can
agree	VB	agree
on	RP	on
.	SENT	.
The	DT	the
people	NNS	people
who	WP	who
are	VBP	be
walking	VBG	walk
a	DT	a
spiritual	JJ	spiritual
path	NN	path
or	CC	or
those	DT	those
who	WP	who
are	VBP	be
agnostic	JJ	agnostic
or	CC	or
atheist	NN	atheist
or	CC	or
spiritual	JJ	spiritual
but	CC	but
not	RB	not
religious	JJ	religious
,	,	,
we	PP	we
can	MD	can
always	RB	always
bask	VB	bask
in	IN	in
the	DT	the
awe	NN	awe
and	CC	and
wonder	NN	wonder
of	IN	of
nature	NN	nature
.	SENT	.
And	CC	and
I	PP	I
talk	VBP	talk
about	IN	about
specific	JJ	specific
ways	NNS	way
to	TO	to
just	RB	just
simply	RB	simply
increase	VB	increase
our	PP$	our
connection	NN	connection
with	IN	with
nature	NN	nature
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
go	VBP	go
outside	IN	outside
three	CD	three
times	NNS	time
a	DT	a
week	NN	week
,	,	,
